id,family_id,split,style,question,intent,skill,entities,expected_action,backend_sources,response_strategy,must_do,must_not,clarification_question,notes
GREET_001-01,GREET_001,train,natural,Chào shop,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-02,GREET_001,train,no_accent,Chao shop,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-03,GREET_001,train,natural,Shop ơi tư vấn giúp mình với,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-04,GREET_001,train,no_accent,Shop oi tu van giup minh voi,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-05,GREET_001,train,slang,shop ơi tu van giúp mình với,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-06,GREET_001,train,natural,Có ai tư vấn không?,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-07,GREET_001,train,no_accent,Co ai tu van khong?,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-08,GREET_001,train,slang,có ai tu van ko?,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-09,GREET_001,train,natural,Tôi muốn mua đồ điện máy,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-10,GREET_001,train,no_accent,Toi muon mua do dien may,GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-11,GREET_001,train,natural,"Hello, mình cần tư vấn sản phẩm",GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-12,GREET_001,train,no_accent,"Hello, minh can tu van san pham",GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
GREET_001-13,GREET_001,train,slang,"hello, mình cần tu van sản phẩm",GREETING,,{},GREET_AND_DISCOVER_NEED,[],SHORT_DISCOVERY,"[""Greet briefly and ask what product category or need the customer has.""]","[""Do not dump a long list of capabilities.""]",,
CAT_001-01,CAT_001,test,natural,Shop đang bán những loại điều hòa nào?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-02,CAT_001,test,no_accent,Shop dang ban nhung loai dieu hoa nao?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-03,CAT_001,test,slang,shop đang bán những loại dieu hoa nào?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-04,CAT_001,test,natural,Bên mình có những dòng máy giặt nào?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-05,CAT_001,test,no_accent,Ben minh co nhung dong may giat nao?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-06,CAT_001,test,slang,bên mình có những dòng may giat nào?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-07,CAT_001,test,natural,Có tủ lạnh side by side không?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-08,CAT_001,test,no_accent,Co tu lanh side by side khong?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-09,CAT_001,test,slang,có tu lanh side by side ko?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-10,CAT_001,test,natural,Shop có TV OLED không?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-11,CAT_001,test,no_accent,Shop co TV OLED khong?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-12,CAT_001,test,slang,shop có tv oled ko?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-13,CAT_001,test,natural,Có máy sấy quần áo không?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-14,CAT_001,test,no_accent,Co may say quan ao khong?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
CAT_001-15,CAT_001,test,slang,có máy sấy quần áo ko?,CATEGORY_DISCOVERY,,"{""category_or_feature"": ""extract""}",QUERY_CATALOG_CATEGORY,"[""PRODUCT_DB"", ""CATEGORY_DB""]",CATEGORY_LIST,"[""Return only categories/types actually available in catalog.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-01,PSEARCH_EXACT_001,train,natural,Shop có Daikin FTKB35 không?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
